learning evaluation instances,evaluation time (cpu seconds),average chunk train time,average chunk train speed,average chunk test time,average chunk test speed,model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),labeling cost,newThreshold,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
320000.0,19.417510888,0.01301283855,38423.592060934316,0.008792460050000001,56866.90609415962,5.042472518295092E-7,320000.0,89.543125,79.08623448786798,79.10335912471663,79.03672426106677,320000.0,125640.0,0.26195,0.5,485.7,310.78862055530067,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
330000.0,20.124946294,0.01681826305,29729.586135828693,0.0115690309,43218.831751931786,5.227007857556497E-7,330000.0,89.56181818181818,79.12363429095257,79.14057674373541,79.08116478911731,330000.0,125640.0,0.2615757575757576,0.5,479.79999999999995,306.37188730908935,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
340000.0,20.820415898,0.01658518195,30147.39310713441,0.01114952605,44844.955539612376,5.407300975988661E-7,340000.0,89.57147058823529,79.14295070431713,79.17050961962107,79.1112394103993,340000.0,125640.0,0.26129705882352944,0.5,457.20000000000005,296.3420696125041,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
350000.0,21.566185136,0.01734982615,28818.732572718025,0.0123771786,40396.92858597031,5.60054528157231E-7,350000.0,89.578,79.15600929046444,79.1849032486319,79.11709813710111,350000.0,125640.0,0.2610085714285714,0.5,473.3,309.6822923937083,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
360000.0,22.245710424,0.0159122748,31422.282878121234,0.011139532550000001,44885.18685642693,5.776399114479353E-7,360000.0,89.58972222222222,79.17945069317967,79.20405298174937,79.13737147692291,360000.0,125640.0,0.26077222222222224,0.5,482.1,307.0596937983811,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
370000.0,22.878397348,0.014911113949999999,33532.03534468329,0.0102594716,48735.453393135766,5.940023817561609E-7,370000.0,89.59810810810811,79.1962300096172,79.2118354317567,79.16242555495398,370000.0,125640.0,0.2605081081081081,0.5,478.9,308.9708544327262,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
380000.0,23.546197853,0.0154511117,32360.131083642347,0.01107090885,45163.41040961601,6.112433701670771E-7,380000.0,89.6021052631579,79.20423058184798,79.2250947731491,79.1668204514418,380000.0,125640.0,0.26018157894736843,0.5,477.7,302.4970339615838,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
390000.0,24.286734813,0.0173278846,28855.22448597101,0.0120447647,41511.81135153267,6.303374473028859E-7,390000.0,89.60307692307691,79.2061752059644,79.22692691923461,79.16748014262373,390000.0,125640.0,0.25987692307692306,0.5,468.70000000000005,296.43963222814114,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
400000.0,24.926670773,0.01508415105,33147.37424351104,0.0102577287,48743.73407828577,6.468112696595532E-7,400000.0,89.60725000000001,79.21452575943823,79.23775371583827,79.1708629578968,400000.0,125640.0,0.25978,0.5,487.2000000000001,313.1424241104642,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
410000.0,25.582021873,0.01559965595,32051.98894146124,0.010507971500000001,47582.92311698789,6.637828763836106E-7,410000.0,89.61658536585367,79.23319901655971,79.25189463167386,79.18901082785423,410000.0,125640.0,0.2597,0.5,500.9,319.1549432137591,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
420000.0,26.318846521,0.01742583045,28693.03712294527,0.01194143295,41871.02185253236,6.828734523442616E-7,420000.0,89.63380952380953,79.26764936856432,79.2830088125012,79.227260582465,420000.0,125640.0,0.25954285714285713,0.5,472.1,301.88461739913515,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
430000.0,26.936033155,0.014438930050000002,34628.60463126906,0.010148107200000001,49270.27180004562,6.988565794022796E-7,430000.0,89.6393023255814,79.27863571639901,79.30968823581316,79.2393041711519,430000.0,125640.0,0.25936976744186047,0.5,483.59999999999997,310.92843049307805,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
440000.0,27.580179468,0.0150385455,33247.89621443111,0.01043757225,47903.860018789324,7.154176649370273E-7,440000.0,89.66022727272728,79.32047771762834,79.34842803838437,79.28439055264394,440000.0,125640.0,0.2591295454545455,0.5,472.2,301.0912744593499,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
450000.0,28.246062818,0.015750213699999998,31745.60101365482,0.01080097325,46292.12464719325,7.326776133500082E-7,450000.0,89.66333333333333,79.32669107525967,79.3553856191165,79.29169263645267,450000.0,125640.0,0.25904,0.5,482.1,307.8933617703088,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
460000.0,28.964947095,0.01712075155,29204.325437454292,0.01153924315,43330.39814660635,7.513084199866322E-7,460000.0,89.68782608695652,79.37567128903993,79.3979561257595,79.33495101221101,460000.0,125640.0,0.25894782608695655,0.5,491.0,318.54077010992205,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
470000.0,29.61356552,0.0152680483,32748.127997473,0.010568569699999999,47310.091544364805,7.681038534520236E-7,470000.0,89.69170212765958,79.38343056314437,79.40382514358105,79.3442021879823,470000.0,125640.0,0.2587340425531915,0.5,476.0,300.90640848387835,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
480000.0,30.190986963,0.01372308735,36434.949894857295,0.009293941949999999,53798.485367126705,7.830663761854214E-7,480000.0,89.69604166666667,79.39209900106252,79.40564128615328,79.34526593612189,480000.0,125640.0,0.25856875,0.5,476.09999999999997,303.0557154495963,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
490000.0,30.836463053,0.01501155605,33307.67299103546,0.01069627205,46745.25831642436,7.997780880818186E-7,490000.0,89.70346938775509,79.40695080095892,79.41970695731627,79.36001440008508,490000.0,125640.0,0.2582816326530612,0.5,471.3,299.35191107902864,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
500000.0,31.380350933,0.012559244150000001,39811.31300803639,0.0089328651,55973.08303693067,8.137493164732163E-7,500000.0,89.7146,79.42921354314754,79.44161726317304,79.38326591646188,500000.0,125640.0,0.258004,0.5,462.1000000000001,292.89378051892237,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
510000.0,31.890134208,0.011927351999999999,41920.453089671544,0.0082630616,60510.25929662681,8.268743604808157E-7,510000.0,89.73,79.46000211764928,79.47738386308069,79.41196124290009,510000.0,125640.0,0.2578254901960784,0.5,483.6,305.60075625270014,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
